User_Rating_Count,Price,Size,Update_Gap,Great_App,Subtitle_Present,Price_Free,Description_Length,Genre_Adventure,Genre_Family,Language_EN,Languages_Count,In_App_Count,In_App_Max
11.0,0.0,19125248.0,158630400000000000,0,0,1,2164,0,0,1,1,0,0.0
200.0,0.0,2651122.0,13046400000000000,0,0,1,935,0,0,1,1,0,0.0
9908.0,4.99,529755136.0,197337600000000000,1,0,0,3930,0,0,1,1,2,0.99
124.0,0.0,1224994.0,0,0,0,1,2051,0,0,1,1,0,0.0
6381.0,0.0,6678875.0,97286400000000000,0,0,1,527,0,0,1,1,0,0.0
37.0,0.99,8821760.0,211075200000000000,1,0,0,1345,0,0,1,1,0,0.0
1456.0,0.0,27736030.0,32400000000000000,0,0,1,1017,0,0,1,7,0,0.0
272.0,0.99,10806272.0,244771200000000000,0,1,0,1865,0,0,1,1,1,0.99
13433.0,0.0,29326612.0,83635200000000000,0,0,1,1145,0,0,1,1,1,0.99
28.0,2.99,23948288.0,247795200000000000,1,0,0,2223,0,0,1,2,2,11.99
17.0,0.0,2708572.0,18230400000000000,0,0,1,1324,0,0,1,2,0,0.0
1096.0,0.0,70583296.0,188524800000000000,0,0,1,348,0,0,1,1,0,0.0
39.0,0.0,18537472.0,273542400000000000,0,0,1,2268,0,0,1,1,0,0.0
2117.0,0.0,18915328.0,223430400000000000,0,0,1,1387,0,1,1,4,1,4.99
6230.0,1.99,12067083.0,9849600000000000,0,0,0,2002,0,0,1,1,1,0.99
579.0,1.99,157129465.0,83462400000000000,0,0,0,1410,0,0,1,1,2,0.99
1550.0,4.99,257059840.0,234230400000000000,0,0,0,2735,0,0,1,6,3,0.99
2303.0,3.99,219693056.0,242006400000000000,0,0,0,2027,0,0,1,1,0,0.0
1638.0,0.0,57462784.0,102643200000000000,0,0,1,898,0,0,1,1,2,0.99
227.0,10.0,64207872.0,292896000000000000,1,1,0,1359,0,0,1,9,0,0.0
184.0,2.99,17022757.0,28425600000000000,0,0,0,2365,0,0,1,1,0,0.0
